"","provider","id","procedure","amt","iv","value","duration","month","year","sex","eth","race","edu","vac","index","comment","check","question","age"
"16","MTurk",1,"mcq",2,5.7e-05,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.4",36
"17","MTurk",1,"mcq",3,0.0018,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.5",36
"18","MTurk",1,"mcq",1,0.00014,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.6",36
"19","MTurk",1,"mcq",2,0.00088,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.7",36
"20","MTurk",1,"mcq",1,2.2e-05,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.8",36
"21","MTurk",1,"mcq",3,0.0059,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.9",36
"22","MTurk",1,"mcq",1,0.00089,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.10",36
"23","MTurk",1,"mcq",3,2.2e-05,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.11",36
"24","MTurk",1,"mcq",2,0.00014,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.12",36
"25","MTurk",1,"mcq",3,0.00014,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.14",36
"26","MTurk",1,"mcq",2,0.0023,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.15",36
"27","MTurk",1,"mcq",1,9e-06,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.16",36
"28","MTurk",1,"mcq",3,5.7e-05,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.17",36
"29","MTurk",1,"mcq",1,0.014,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.18",36
"30","MTurk",1,"mcq",2,0.00034,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.19",36
"31","MTurk",1,"mcq",3,9e-06,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.20",36
"32","MTurk",1,"mcq",2,0.0058,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.21",36
"33","MTurk",1,"mcq",1,0.0055,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.22",36
"34","MTurk",1,"mcq",2,2.2e-05,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.23",36
"35","MTurk",1,"mcq",1,0.0023,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.24",36
"36","MTurk",1,"mcq",3,0.014,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.25",36
"37","MTurk",1,"mcq",1,0.00034,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.26",36
"38","MTurk",1,"mcq",3,0.00034,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.27",36
"39","MTurk",1,"mcq",2,9e-06,0,233,7,1985,1,3,6,3,-1,"A1ACXKVOUQ19DX","-1",5,"Q26.28",36
"40","MTurk",2,"aa",1,4,0.96875,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q5.16",34
"41","MTurk",2,"aa",1,18,0.90625,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q6.16",34
"42","MTurk",2,"aa",1,60,0.59375,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q7.13",34
"43","MTurk",2,"aa",1,108,0.59375,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q8.13",34
"44","MTurk",2,"aa",2,4,0.96875,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q12.16",34
"45","MTurk",2,"aa",2,18,0.96875,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q13.16",34
"46","MTurk",2,"aa",2,60,0.65625,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q14.14",34
"47","MTurk",2,"aa",2,108,0.40625,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q15.12",34
"48","MTurk",2,"aa",3,4,0.96875,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q19.16",34
"49","MTurk",2,"aa",3,18,0.84375,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q20.15",34
"50","MTurk",2,"aa",3,60,0.78125,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q21.15",34
"51","MTurk",2,"aa",3,108,0.65625,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q22.14",34
"52","MTurk",2,"mcq",2,0.014,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.1",34
"53","MTurk",2,"mcq",1,5.7e-05,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.2",34
"54","MTurk",2,"mcq",3,0.00088,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.3",34
"55","MTurk",2,"mcq",2,5.7e-05,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.4",34
"56","MTurk",2,"mcq",3,0.0018,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.5",34
"57","MTurk",2,"mcq",1,0.00014,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.6",34
"58","MTurk",2,"mcq",2,0.00088,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.7",34
"59","MTurk",2,"mcq",1,2.2e-05,0,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.8",34
"60","MTurk",2,"mcq",3,0.0059,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.9",34
"61","MTurk",2,"mcq",1,0.00089,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.10",34
"62","MTurk",2,"mcq",3,2.2e-05,0,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.11",34
"63","MTurk",2,"mcq",2,0.00014,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.12",34
"64","MTurk",2,"mcq",3,0.00014,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.14",34
"65","MTurk",2,"mcq",2,0.0023,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.15",34
"66","MTurk",2,"mcq",1,9e-06,0,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.16",34
"67","MTurk",2,"mcq",3,5.7e-05,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.17",34
"68","MTurk",2,"mcq",1,0.014,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.18",34
"69","MTurk",2,"mcq",2,0.00034,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.19",34
"70","MTurk",2,"mcq",3,9e-06,0,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.20",34
"71","MTurk",2,"mcq",2,0.0058,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.21",34
"72","MTurk",2,"mcq",1,0.0055,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.22",34
"73","MTurk",2,"mcq",2,2.2e-05,0,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.23",34
"74","MTurk",2,"mcq",1,0.0023,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.24",34
"75","MTurk",2,"mcq",3,0.014,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.25",34
"76","MTurk",2,"mcq",1,0.00034,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.26",34
"77","MTurk",2,"mcq",3,0.00034,1,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.27",34
"78","MTurk",2,"mcq",2,9e-06,0,269,8,1987,0,3,6,6,-1,"AERUGBNS48Z4N","-1",7,"Q26.28",34
"79","MTurk",3,"aa",1,4,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q5.16",31
"80","MTurk",3,"aa",1,18,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q6.16",31
"81","MTurk",3,"aa",1,60,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q7.16",31
"82","MTurk",3,"aa",1,108,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q8.16",31
"83","MTurk",3,"aa",2,4,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q12.16",31
"84","MTurk",3,"aa",2,18,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q13.16",31
"85","MTurk",3,"aa",2,60,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q14.16",31
"86","MTurk",3,"aa",2,108,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q15.16",31
"87","MTurk",3,"aa",3,4,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q19.16",31
"88","MTurk",3,"aa",3,18,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q20.16",31
"89","MTurk",3,"aa",3,60,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q21.16",31
"90","MTurk",3,"aa",3,108,0.96875,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q22.16",31
"91","MTurk",3,"mcq",2,0.014,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.1",31
"92","MTurk",3,"mcq",1,5.7e-05,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.2",31
"93","MTurk",3,"mcq",3,0.00088,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.3",31
"94","MTurk",3,"mcq",2,5.7e-05,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.4",31
"95","MTurk",3,"mcq",3,0.0018,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.5",31
"96","MTurk",3,"mcq",1,0.00014,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.6",31
"97","MTurk",3,"mcq",2,0.00088,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.7",31
"98","MTurk",3,"mcq",1,2.2e-05,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.8",31
"99","MTurk",3,"mcq",3,0.0059,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.9",31
"100","MTurk",3,"mcq",1,0.00089,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.10",31
"101","MTurk",3,"mcq",3,2.2e-05,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.11",31
"102","MTurk",3,"mcq",2,0.00014,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.12",31
"103","MTurk",3,"mcq",3,0.00014,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.14",31
"104","MTurk",3,"mcq",2,0.0023,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.15",31
"105","MTurk",3,"mcq",1,9e-06,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.16",31
"106","MTurk",3,"mcq",3,5.7e-05,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.17",31
"107","MTurk",3,"mcq",1,0.014,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.18",31
"108","MTurk",3,"mcq",2,0.00034,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.19",31
"109","MTurk",3,"mcq",3,9e-06,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.20",31
"110","MTurk",3,"mcq",2,0.0058,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.21",31
"111","MTurk",3,"mcq",1,0.0055,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.22",31
"112","MTurk",3,"mcq",2,2.2e-05,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.23",31
"113","MTurk",3,"mcq",1,0.0023,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.24",31
"114","MTurk",3,"mcq",3,0.014,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.25",31
"115","MTurk",3,"mcq",1,0.00034,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.26",31
"116","MTurk",3,"mcq",3,0.00034,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.27",31
"117","MTurk",3,"mcq",2,9e-06,1,311,5,1990,0,3,6,6,-1,"A65N7P7LMZ4GE","None",3,"Q26.28",31
"118","MTurk",4,"aa",1,4,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q5.16",42
"119","MTurk",4,"aa",1,18,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q6.16",42
"120","MTurk",4,"aa",1,60,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q7.16",42
"121","MTurk",4,"aa",1,108,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q8.16",42
"122","MTurk",4,"aa",2,4,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q12.16",42
"123","MTurk",4,"aa",2,18,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q13.16",42
"124","MTurk",4,"aa",2,60,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q14.16",42
"125","MTurk",4,"aa",2,108,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q15.16",42
"126","MTurk",4,"aa",3,4,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q19.16",42
"127","MTurk",4,"aa",3,18,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q20.16",42
"128","MTurk",4,"aa",3,60,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q21.16",42
"129","MTurk",4,"aa",3,108,0.96875,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q22.16",42
"130","MTurk",4,"mcq",2,0.014,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.1",42
"131","MTurk",4,"mcq",1,5.7e-05,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.2",42
"132","MTurk",4,"mcq",3,0.00088,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.3",42
"133","MTurk",4,"mcq",2,5.7e-05,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.4",42
"134","MTurk",4,"mcq",3,0.0018,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.5",42
"135","MTurk",4,"mcq",1,0.00014,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.6",42
"136","MTurk",4,"mcq",2,0.00088,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.7",42
"137","MTurk",4,"mcq",1,2.2e-05,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.8",42
"138","MTurk",4,"mcq",3,0.0059,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.9",42
"139","MTurk",4,"mcq",1,0.00089,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.10",42
"140","MTurk",4,"mcq",3,2.2e-05,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.11",42
"141","MTurk",4,"mcq",2,0.00014,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.12",42
"142","MTurk",4,"mcq",3,0.00014,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.14",42
"143","MTurk",4,"mcq",2,0.0023,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.15",42
"144","MTurk",4,"mcq",1,9e-06,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.16",42
"145","MTurk",4,"mcq",3,5.7e-05,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.17",42
"146","MTurk",4,"mcq",1,0.014,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.18",42
"147","MTurk",4,"mcq",2,0.00034,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.19",42
"148","MTurk",4,"mcq",3,9e-06,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.20",42
"149","MTurk",4,"mcq",2,0.0058,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.21",42
"150","MTurk",4,"mcq",1,0.0055,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.22",42
"151","MTurk",4,"mcq",2,2.2e-05,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.23",42
"152","MTurk",4,"mcq",1,0.0023,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.24",42
"153","MTurk",4,"mcq",3,0.014,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.25",42
"154","MTurk",4,"mcq",1,0.00034,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.26",42
"155","MTurk",4,"mcq",3,0.00034,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.27",42
"156","MTurk",4,"mcq",2,9e-06,1,338,8,1979,1,3,6,6,-1,"A2CEYQH4UDNIEV","-1",7,"Q26.28",42
"157","MTurk",5,"aa",1,4,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q5.9",33
"158","MTurk",5,"aa",1,18,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q6.9",33
"159","MTurk",5,"aa",1,60,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q7.9",33
"160","MTurk",5,"aa",1,108,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q8.9",33
"161","MTurk",5,"aa",2,4,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q12.9",33
"162","MTurk",5,"aa",2,18,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q13.9",33
"163","MTurk",5,"aa",2,60,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q14.9",33
"164","MTurk",5,"aa",2,108,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q15.9",33
"165","MTurk",5,"aa",3,4,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q19.9",33
"166","MTurk",5,"aa",3,18,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q20.9",33
"167","MTurk",5,"aa",3,60,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q21.9",33
"168","MTurk",5,"aa",3,108,0.03125,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q22.9",33
"169","MTurk",5,"mcq",2,0.014,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.1",33
"170","MTurk",5,"mcq",1,5.7e-05,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.2",33
"171","MTurk",5,"mcq",3,0.00088,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.3",33
"172","MTurk",5,"mcq",2,5.7e-05,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.4",33
"173","MTurk",5,"mcq",3,0.0018,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.5",33
"174","MTurk",5,"mcq",1,0.00014,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.6",33
"175","MTurk",5,"mcq",2,0.00088,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.7",33
"176","MTurk",5,"mcq",1,2.2e-05,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.8",33
"177","MTurk",5,"mcq",3,0.0059,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.9",33
"178","MTurk",5,"mcq",1,0.00089,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.10",33
"179","MTurk",5,"mcq",3,2.2e-05,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.11",33
"180","MTurk",5,"mcq",2,0.00014,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.12",33
"181","MTurk",5,"mcq",3,0.00014,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.14",33
"182","MTurk",5,"mcq",2,0.0023,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.15",33
"183","MTurk",5,"mcq",1,9e-06,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.16",33
"184","MTurk",5,"mcq",3,5.7e-05,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.17",33
"185","MTurk",5,"mcq",1,0.014,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.18",33
"186","MTurk",5,"mcq",2,0.00034,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.19",33
"187","MTurk",5,"mcq",3,9e-06,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.20",33
"188","MTurk",5,"mcq",2,0.0058,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.21",33
"189","MTurk",5,"mcq",1,0.0055,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.22",33
"190","MTurk",5,"mcq",2,2.2e-05,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.23",33
"191","MTurk",5,"mcq",1,0.0023,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.24",33
"192","MTurk",5,"mcq",3,0.014,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.25",33
"193","MTurk",5,"mcq",1,0.00034,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.26",33
"194","MTurk",5,"mcq",3,0.00034,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.27",33
"195","MTurk",5,"mcq",2,9e-06,0,316,4,1988,0,2,6,6,-1,"ATEV3IZUFQSDG","none",3,"Q26.28",33
"196","MTurk",6,"aa",1,4,0.03125,294,11,1983,0,3,6,6,-1,"A1QVNF19XSRSD7","-1",4,"Q5.9",38
